Title,Yapımşirketi,Sezonsayısı,Yayıntarihi,Tür,Kanal,Başrol
Artist Palas,Protel,1,20 Mart 1994 - 15 Temmuz 1994,Dram Romantik Komedi,Kanal D,Zuhal Olcay Lale Mansur Burçin Orhon Füsun Demirel Hakan Tanfer
Avrupa Yakası,Plato Film,6,11 Şubat 2004  ( 2004-02-11 )  -  24 Haziran 2009  ( 2009-06-24 ) [4],Durum komedisi,atv  (2004-2009),Gazanfer Özcan Hümeyra Müşfik Kenter Gönül Ülkü Ata Demirer Gülse Birsel Engin Günaydın Levent Üzümcü Şenay Gürler Bülent Polat Veysel Diker Yıldırım Öcek Yavuz Seçkin Hale Caneroğlu Evrim Akın Vural Çelik Hasibe Eren Tolga Çevik Sarp Apak Peker Açıkalın Binnur Kaya Hakan Yılmaz Ömür Arpacı Rutkay Aziz Suna Keskin  ve  diğerleri
Hizmetçiler,Fabrika Yapım,1,7 Mart 2020 - 21 Mart 2020,Drama Entrika,Kanal D,Deniz Baysal Yurtcu Algı Eke Selen Domaç Aleyna Solaker
Yürek Çıkmazı,Gold Film,1,1 Kasım 2022 - 13 Haziran 2023,Dram,TRT 1,Ayça Bingöl Alp Navruz İrem Helvacıoğlu Mesut Akusta
Aşk ve Günah,D Productions,1,31 Ağustos 2015 - 19 Şubat 2016,Aşk Drama,Kanal D,İlknur Şaşmazer Türkan Kılıç Seren Deniz Yalçın Tekin Temel
Gece Gündüz,,1,4 Temmuz 2008 - 22 Mart 2009,Komedi Polisiye Suç Dram,Kanal D,Sarp Levendoğlu Settar Tanrıöğen
Ben Onu Çok Sevdim,Pana Film,1,10 Eylül 2013  ( 2013-09-10 )  -  24 Ocak 2014  ( 2014-01-24 ),Dram Politik,atv,Mehmet Aslantuğ İdil Fırat Birce Akalay Şemsi İnkaya Rıza Akın Erdinç Gülener Mehmetcan Mincinozlu Savaş Zafer Ege Aydan Kerem Alışık Devrim Yakut
Ver Elini Aşk,Salacak Yapım,1,7 Eylül 2017 - 3 Aralık 2017,Romantik komedi Aşk,Kanal D,Ali İl Sevda Erginci
Tek Türkiye,,4,18 Ekim 2007 - 30 Haziran 2011,Dram Aksiyon,Samanyolu TV,
Aziz Ahmet,Med Yapım,1,22 Nisan 1994 - 1994,,atv,Uğur Yücel Ayşegül Aldinç
Geniş Aile,D Productions,3,8 Temmuz 2009 - 18 Kasım 2011,Komedi Aile,Kanal D  (2009-2010)  Star TV  (2010-2011),Ufuk Özkan Zuhal Topal Rojda Demirer Rasim Öztekin Fırat Tanış Mine Teber İlker Ayrık
Serçe Sarayı,Endemol Shine Turkey Bazıfilmler,1,5 Mart 2015  ( 2015-03-05 )  -  14 Haziran 2015  ( 2015-06-14 ),Drama Aşk,Star TV  ( HD ),Songül Öden Mert Fırat Alican Yücesoy Esra Dermancıoğlu Selen Öztürk Serkan Ercan Erkan Bektaş Turgay Kantürk
Veda,Medyapım,1,27 Eylül 2012 - 23 Kasım 2012,Drama Aşk Tarihî,Kanal D  ( HD ),Mehmet Aslantuğ Fahriye Evcen Maral Üner Jale Arıkan Sevda Erginci Ahmet Tansu Taşanlar
Alemin Kıralı,Süreç Film,2,16 Eylül 2011 - 27 Mart 2013,Aile Durum komedisi Absürt komedi,atv,Oya Başar Şafak Sezer Evrim Akın Metin Yıldız Zeynep Gülmez Ececan Gümeci  Hamdi Kahraman Elvin Levinler Birsu Demir Yağmur Ün
Zengin Kız Fakir Oğlan,Mint Prodüksiyon,4,30 Ağustos 2012 - 28 Ağustos 2015,Aile Romantik komedi,TRT 1  ( HD ) (2012-2015) FOX  ( HD ) (2015),Hüseyin Avni Danyal Ayda Aksel Ufuk Özkan Ecem Özkaya Mahir İpek Gözde Okur Kemal Kuruçay Şeyla Halis Ferdi Akarnur Zerrin Epikmen Kıvanç Baran Arslan
İşler Güçler,Limon Film,1,28 Haziran 2012 - 4 Haziran 2013,Komedi,Star TV  ( HD ),Ahmet Kural Murat Cemcir Sadi Celil Cengiz
Gecenin Ucunda,TMC Film Âlim Yapım,1,5 Ekim 2022 - 25 Nisan 2023,Dram Romantik,Star TV,Neslihan Atagül Kadir Doğulu Tuba Ünsal Sarp Levendoğlu
Ev Yapımı,MinT Yapım,1,9 Nisan 2020 - 11 Haziran 2020,Komedi,TRT 1,Rasim Öztekin Özlem Türkad Ayşe Tolga Şoray Uzun Yasemin Çonka Berat Yenilmez Begüm Öner Ceyhun Fersoy
Hekimoğlu,Karga Seven Pictures OJO Pictures,2,17 Aralık 2019 - 25 Mayıs 2021,Medikal Drama Komedi,Kanal D,Timuçin Esen Okan Yalabık Ebru Özkan Kaan Yıldırım Aytaç Şaşmaz Damla Colbay
Seher Vakti,,1,31 Ocak 2005 - 28 Mart 2005,,Kanal D  (2005),Yeşim Salkım Uğur Polat İdil Fırat Berk Hakman Begüm Birgören
Güneydoğudan Öyküler Önce Vatan,Fida Film,1,20 Ekim 2010 - 30 Aralık 2010,Dram Savaş,Show TV,Melisa Sözen Serhat Tutumluer Umut Kurt Sezai Aydın İlker Kızmaz Arsen Gürzap Yeliz Akkaya Nihan Okutucu
Güzel Köylü,Gold Film,1,25 Haziran 2014 - 17 Haziran 2015,Aile Romantik komedi,Star TV,Gizem Karaca Berk Cankat Mehmet Ali Nuroğlu Zerrin Sümer Ahmet Mümtaz Taylan Ali İpin
Sırlar Dünyası,,5,13 Nisan 2004  ( 2004-04-13 ) [1] [2]  -  31 Ağustos 2010  ( 2010-08-31 ) [3] [4],Dram,Samanyolu TV,
Sokak Şarkıcıları,Yeni Stüdyo,1,1974 - 1974,,TRT,Ali Poyrazoğlu Oya Başar Aysun Güven Özcan Özgür Gülşen Gürsoy İlhan Daner Alpay İzer
İçimdeki Fırtına,Aslan Yapım,1,11 Şubat 2017  ( 2017-02-11 )  -  18 Mart 2017  ( 2017-03-18 ),Aksiyon Dram,Star TV  ( HD ),Merve Boluğur Yusuf Çim Gizem Karaca Burak Yamantürk Tarık Papuççuoğlu Mehmet Özgür Hatice Aslan
Boynu Bükükler,Barakuda Film,1,27 Şubat 2014 - 12 Nisan 2014,Komedi Gençlik,Kanal D  ( HD ),Sedef Avcı Ahmet Saraçoğlu Murat Akkoyunlu Ünal Yeter Barış Başar Ali Tutal Mine Teber Ahmet Olgun Sünear Çağlar Ertuğrul Gün Koper Güven Murat Akpınar Bora Akkaş Bensu Soral Sevilay Şimşek Özüm Arkan Öznur Serçeler Barış Aytaç Cüneyt Çeliksoy Bengi İdil Uras Nihan Tarhan Anıl Altan Kadir İlter
Pars: Narkoterör,Sinegraf,1,21 Ocak 2008 - 4 Temmuz 2008,Aksiyon Politik Dram Macera,Show TV,İbrahim Çelikkol Seda Bakan
Süper Babaanne,TRT Avşar Film,1,2008,Fantastik Aile Komedi,TRT 1,Murat Kubilay Asuman Dabak Mustafa Uzunyılmaz Ceren Soylu Yılmaz Köksal Zuhal Yalçın Nedret Özbek
İyi Günde Kötü Günde,O3 Medya,1,12 Eylül 2020 - 17 Ekim 2020,Romantik Komedi,Star TV,Elçin Sangu Ozan Dolunay Yasemin Allen
Bizimkiler,,15,7 Ocak 1989 - 27 Ekim 2002,Aile,"TRT 1  (1989-1994) Star TV  (1994-1999, 2002) Show TV  (1999-2002)",Erdal Özyağcılar Ayşe Kökçü Atılay Uluışık Ercan Yazgan Mehmet Akan Savaş Dinçel Oktay Sözbir
Kadın,Medyapım MF Yapım,3,24 Ekim 2017 - 4 Şubat 2020,Dram Psikolojik gerilim,FOX  ( HD ),Özge Özpirinçci Caner Cindoruk Bennu Yıldırımlar Seray Kaya Feyyaz Duman Şerif Erol Hümeyra Gökçe Eyüboğlu Ayça Erturan Ali Semi Sefil Kübra Süzgün
Mirasyediler,Kemal Film,1,9 Eylül 1996 - 17 Ocak 1997,Komedi Aile,Show TV,Göksel Arsoy Açelya Akkoyun Yalçın Dümer Tarık Tarcan Kerim Tekin Murat Parasayar İpek Tuzcuoğlu Ceyda Düvenci
Kardeş Payı,NTC Medya,2,13 Şubat 2014  ( 2014-02-13 )  -  30 Nisan 2015  ( 2015-04-30 ),Komedi Aile,Star TV  ( HD ),Ahmet Kural Murat Cemcir Seda Bakan
Kiralık Aşk,Ortaks Yapım,2,19 Haziran 2015 - 20 Ocak 2017,Drama Romantik komedi,Star TV  ( HD ),Barış Arduç Elçin Sangu Salih Bademci Müjde Uzman Seçkin Özdemir Onur Büyüktopçu Nergis Kumbasar Levent Ülgen
Kırık Ayna,Gold Film,1,2002 - 2003,Dram Aksiyon,Kanal D,Kadir İnanır Yeşim Büber Selma Güneri Burak Hakkı Mine Çayıroğlu Sinem Güven Bülent Kayabaş
Aşk-ı Roman,Global Prodüksiyon,1,21 Ağustos 2017 - 6 Ekim 2017,Aşk Komedi Mahalle Dram,TV8  ( HD ),Solmaz Çiros Kaan Güvenilir
Zaga,,,21 Kasım 1998  ( 1998-11-21 )  -  18 Haziran 2005  ( 2005-06-18 ),Talk show,Kanal D,Okan Bayülgen  (sunucu)
Akrep,1441 Productions,1,11 Aralık 2020 - 17 Haziran 2021,Dram,Star TV,Demet Akbağ Evrim Alasya Bekir Aksoy Yusuf Çim
Başım Belada,Baba Yapım,1,5 Mart 2023 - 2 Nisan 2023,Dram Aile,atv,Keremcem Merih Öztürk Kaan Taşaner
Eyvah Halam,,1,30 Temmuz 2008 - 27 Ağustos 2008,Komedi Aile,Star TV,Rasim Öztekin Ertuğrul Şakar Ece Çeşmioğlu Zeynep Özkaya Doğaç Yıldız Akçahan Akça Defne Yalnız Sait Genay Oğuz Oktay
Kısmet,NTC Medya,1,16 Haziran 2023 - 25 Ağustos 2023,Romantik komedi,FOX,Cem Gelinoğlu Özge Özacar Cenan Adıgüzel Serdar Orçin
Şöhret,Gold Film,2,10 Kasım 2005 - 25 Haziran 2007,Dram,atv,Ahu Türkpençe Atilla Saral Murat Ünalmış Nurseli İdiz Şebnem Dilligil Türkan Kılıç Onur Bayraktar Burak Altay Oya Okar Bengi Öztürk Kevork Türker Ebru Gediz Selma Ergeç Yalçın Dümer
Sen Benimsin,Pastel Film,1,19 Haziran 2015 - 13 Eylül 2015,Dram Aşk,FOX,Gökhan Keser Rüveyda Öksüz
Çapkın,Süreç Film,1,7 Ekim 2005  ( 2005-10-07 ) [1] [2] [3]  - 2006,Komedi Romantik,Show TV,Okan Yalabık Özlem Conker Ahmet Mümtaz Taylan Nergis Kumbasar Suna Pekuysal Bartu Küçükçağlayan Melis Birkan Nergis Kumbasar Nilüfer Silsüpür Burçin Üçüncüoğlu Volga Sorgu Zuhal Yalçın Aslı Orcan Süheyla Gözde Soley Mustafa Uzunyılmaz Seval İşgören Güngör Varlı Hasan Mullaoğlu
Ayrılsak da Beraberiz,Mint Prodüksiyon,1,17 Mart 2015 - 30 Ağustos 2015,Sitkom Aile Komedi,TV8  ( HD ) (2015),Mete Horozoğlu Algı Eke Hatice Aslan Suzan Kardeş Bülent Şakrak Deniz Oral
Fesupanallah,Pana Film,1,10 Eylül 2007 - 6 Kasım 2007,Komedi Dram,atv,Şafak Sezer Kadir Çöpdemir Hasan Kaçan Cem Davran Erdal Tosun Şebnem Özinal Hatice Şendil
Benim Hala Umudum Var,Gold Film,1,1 Temmuz 2013 - 25 Şubat 2014,Aşk Drama,Star TV  ( HD ) (2013)  FOX  ( HD ) (2014),Gizem Karaca Berk Oktay Şükrü Özyıldız
Ölene Kadar,Tims Productions,1,12 Ocak 2017 - 13 Nisan 2017,Dram Aşk,atv,Engin Akyürek Fahriye Evcen Sarp Levendoğlu Gülcan Arslan Tansu Biçer Ferdi Sancar Demir Karahan Didem Balçın Mesut Akusta Ragıp Savaş Lale Mansur Avni Yalçın   Zeki Eker
Uzak Şehrin Masalı,25 Film,1,12 Eylül 2021 - 14 Ekim 2021,Dram,FOX,Aslıhan Güner Barış Kılıç Timur Acar Begüm Birgören
Yılan Hikâyesi,Yağmur Ajans,3,7 Ekim 1999 - 23 Mayıs 2002,Dram Komedi Polisiye,Kanal D  (1999-2002),Meltem Cumbul Memet Ali Alabora
Yol Arkadaşım,Sis Yapım,2,12 Mayıs 2008 - 15 Haziran 2009,Dram Komedi Romantik,Kanal D  (12 Mayıs 2008-29 Aralık 2008)  Star TV  (29 Ocak 2009-15 Haziran 2009),Özge Özberk Polat Bilgin Sinan Tuzcu Tanju Tuncel Ayşe Tunaboylu Goncagül Sunar
Yetim Gönüller,Ser Film,1,8 Ekim 2014  ( 2014-10-08 )  -  21 Ocak 2015  ( 2015-01-21 ),Dram Aşk,Samanyolu TV,Yağmur Ün Gürkan Günal
Gönül Hırsızı,Tekden Film,1,2 Aralık 2013 - 18 Nisan 2014,Romantik komedi Dram Gerilim,TRT 1,Cem Kılıç Tuğçe Kazaz
Son Yaz,O3 Medya,2,1 Ocak 2021 - 16 Ekim 2021,Dram Polisiye,FOX,Alperen Duymaz Ali Atay Hafsanur Sancaktutan Funda Eryiğit Birce Akalay
Kurtlar Vadisi Pusu,Pana Film,10,19 Nisan 2007 - 16 Haziran 2016,Aksiyon Dram Politik,"Show TV  (2007-2009)  Star TV  (2009-2010)  TNT  (2011-2012)  atv  (2010-2011, 2012-2014)  Kanal D  (2014-2016) Tekrar yayınları Beyaz TV  (2018-2023) TürkHaberTV  (2023-) 360 TV  (2016-) tv2  (2019)",Necati Şaşmaz Cahit Kayaoğlu Erhan Ufak Ertuğrul Şakar Gaye Gürsel Defne Samyeli Eski başroller Gürkan Uygun Kenan Çoban Musa Uzunlar Hakan Boyav Ertan Saban Görkem Sevindik Çiğdem Batur Ali Sürmeli Mustafa Üstündağ Burak Sevinç Hüseyin Avni Danyal
Hayal ve Gerçek,Süreç Film,1,7 Temmuz 2007 - 1 Eylül 2007,Komedi Fantastik Romantik,atv,Yasemin Hadivent Cem Kılıç Zuhal Yalçın
Küçük Hanımefendi,AT Yapım,2,25 Şubat 2011 - 2 Mart 2012,Dram,TRT 1,Cansu Tosun Barış Bağcı Derya Alabora Beyazıt Gülercan Arsen Gürzap Rıza Sönmez Barış Hayta Gamze Yarka Zeynep Irgat Ece Özdikici Gamze Ozan Gizem Akbal Taner Ertürkler Görkem Yeltan Edip Saner Yeliz Akkaya Kazım Akşar Serena Yapaöz Arda Canikoğlu Barış Arduç
Hercai,Mia Yapım,3,15 Mart 2019 - 25 Nisan 2021,Dram Aşk,atv,Akın Akınözü Ebru Şahin
Maviye Sürgün,O3 Medya,1,12 Haziran 2023 - 6 Aralık 2023,Dram,Show TV  (1-13),Caner Cindoruk Damla Sönmez Serkan Altunorak
Deli Gönül,25 Film,1,4 Temmuz 2017 - 4 Eylül 2017,Dram,FOX,Murat Ünalmış Tuvana Türkay Ayşe Çiğdem Batur Ogün Kaptanoğlu
Uğurlugiller,STR,4,6 Temmuz 1988 - 28 Ocak 1991,Durum komedisi,TRT 1  (1988-1991),Yıldız Kenter Şükran Güngör Tevfik Gelenbe Gül Onat Mehmet Birkiye Mübeccel Vardar Ayhan Kavas Mustafa Alabora Savaş Dinçel
Şaban Askerde,,,1993 - 1994,Komedi,Star TV,Kemal Sunal Halit Akçatepe Özlem Savaş Canan Öztürk Yaman Tarcan Hüseyin Köroğlu Nihat Nikerel Dinçer Çekmez
Bizim Hikaye,Medyapım,2,14 Eylül 2017  ( 2017-09-14 )  -  23 Mayıs 2019  ( 2019-05-23 ),Komedi Dram,FOX,Hazal Kaya Burak Deniz Reha Özcan Yağız Can Konyalı Mehmet Korhan Fırat Mehmetcan Mincinozlu Sahra Şaş Nejat Uygur
Yalancı Yarim,,1,21 Temmuz 2006 - 30 Haziran 2007,Aşk Romantik Komedi,Star TV,Barış Akarsu Merve Sevi Bülent Kayabaş Ayşe Kökçü
Çember,ANS Productions,3,3 Temmuz 2017 - 16 Mayıs 2022,Polisiye Gerilim Aksiyon,Star TV  (2017-2019) (11 bölüm) Kanal D  (2021-2022) (8 bölüm),Pelin Akil Barış Bağcı Anıl Altan Serhat Kılıç Olgun Toker Özgürcan Çevik Tuvana Türkay Serdar Orçin
Tek Yürek,Degas Film,1,7 Şubat 2019 - 25 Temmuz 2019,Aile Gençlik Aksiyon Spor,TRT 1,Tayanç Ayaydın Vildan Atasever Hilmi Cem İntepe Anıl Tetik Alpay Kemal Atalan Eslem Akar Tugay Bahşi Arda Anarat Atakan Yılmaz Kaan Altay Köprülü
Salih Kuşu,Süreç Film,1,9 Mayıs 2013  ( 2013-05-09 )  -  18 Temmuz 2013  ( 2013-07-18 ),Komedi,Show TV,Levent Ülgen Ayçin İnci Goncagül Sunar Bekir Aksoy Murat Eken
Yalnız Kalpler,Bros Film Mavi Yapım,1,9 Ocak 2023 - 9 Haziran 2023,Dram,FOX,Sena Şahin Taygun Sungar Elif Gülhan Furkan Kapsız
Kahve Bahane,Altıoklar Film,1,2009 - 2010,Komedi Sitcom,Türkmax [1],
Serseri,Yağmur Ajans,2,14 Temmuz 2003  ( 2003-07-14 )  -  25 Ekim 2004  ( 2004-10-25 ),Romantik Drama Komedi,Kanal D,Gamze Özçelik Okan Yalabık Erkan Petekkaya Cüneyt Arkın
Mert ile Gert,Plato Film,1,18 Temmuz 2008 - 3 Şubat 2009,Komedi,TRT 1,Emre Altuğ Ragga Oktay Begüm Birgören Ayşen Gruda Zihni Göktay Aşkın Şenol Işılay Gül Eylem Yıldız Serkan Keskin
Sıla,Fm Yapım Most Production,3,15 Eylül 2006 - 19 Eylül 2008,Dram Aksiyon,atv,Cansu Dere Mehmet Akif Alakurt Zeynep Eronat Menderes Samancılar Devrim Saltoğlu Fatoş Tez Fatoş Sezer Muhammed Cangören Cemal Toktaş Boncuk Yılmaz Gökçe Yanardağ
Fatih,Medyapım,1,30 Eylül 2013 - 4 Kasım 2013,Drama Tarihî,Kanal D  ( HD ),Mehmet Âkif Alakurt Gamze Özçelik Seda Akman Dağhan Külegeç Hande Soral Birkan Sokullu Salih Bademci Müjde Uzman İbrahim Selim Furkan Şentürk
Sevda Kuşun Kanadında,Sonart Medya,2,29 Nisan 2016 - 28 Mart 2017,Tarihî Dram Aşk,TRT 1  ( HD ),Sevtap Özaltun Murat Ünalmış
Bir Deniz Hikayesi,Erler Film,1,15 Eylül 2015 - 10 Kasım 2015,Dram,Kanal D,Emir Berke Zincidi Begüm Birgören Emre Kızılırmak Ozan Çobanoğlu Başak Parlak
Hüsnü Bey Amca,TRT,,9 Ocak 1994 - 23 Şubat 1997,Komedi Sitcom,TRT 1  (1994-1997),Gazanfer Özcan Gönül Ülkü Doğu Erkan Gazanfer Ündüz Fulya Özcan Tarık Ündüz
Canım Ailem,TMC Film,2,18 Kasım 2008 - 9 Haziran 2010,Aile Komedi,atv,Uğur Yücel Ozan Güven Şebnem Bozoklu Funda Eryiğit Ezgi Mola İlker Aksum Oktay Gürsoy Sezgi Mengi Deniz Denker Alpay Şayhan Ayçe Abana Bengi Öztürk Hikmet Körmükçü Candan Sabuncu Nejat Birecik Haldun Boysan Onur Ünsal Begüm Kütük Yaşaroğlu Şeyda Şaşmaz
Ferhunde Hanımlar,TRT  İç Yapımlar (1993-1994) Ankara ODA Yapım (1995-1999),7,12 Nisan 1993  ( 1993-04-12 ) [1]  - 13 Ocak 1999,Dram,TRT 1  (1993-1994)  Star TV  (1995-1999),Beyhan Saran Baykal Saran Güven Hokna Melek Baykal Hatice Aslan Şahap Sayılgan İpek Çeken Tamer Karadağlı
Hayatımın Aşkı,Lucky Red,1,15 Mayıs 2016 - 18 Eylül 2016,Romantik komedi,Kanal D,Serkan Çayoğlu Hande Doğandemir
Hepsi 1,Süreç Film,2,13 Mayıs 2007  ( 2007-05-13 )  -  3 Haziran 2008  ( 2008-06-03 ),Duygusal Komedi,Show TV  (2007) atv  (2007-2008),Cemre Kemer Eren Bakıcı Gülçin Ergül Yasemin Yürük
Fırtına,BKM,1,3 Temmuz 2006 - 16 Haziran 2007,Komedi Aile,Kanal D,Burçin Terzioğlu Murat Yıldırım Zerrin Sümer Jale Aylanç Salih Kalyon Münir Canar Erkan Can Ayşen Gruda Orhan Eşkin Ömür Arpacı Deniz Erözen Cezmi Baskın Nihan Büyükağaç Türkü Hazer Emirşah Bora Fırat Can Aydın
İlişki Durumu: Karışık,MF Yapım,1,4 Temmuz 2015 - 27 Nisan 2016,Aşk Gençlik Romantik komedi,Show TV  ( HD ),Seren Şirince Berk Oktay Eda Ece Pamir Pekin Nurseli İdiz
Darısı Başımıza,Gold Film,1,4 Temmuz 2018 - 1 Ağustos 2018,Dram Aile Komedi,Show TV,Ozan Dolunay Elif Doğan
Esir Şehrin İnsanları,TRT,1,2003 - 2003,Dram Tarihî,TRT 1,Emre Kınay Zeynep Tokuş Fikret Kuşkan Başak Köklükaya Seray Sever Zafer Algöz Ali Sirmen
Gel Dese Aşk,Sinegraf,1,8 Mart 2020 - 29 Mart 2020,Dram,atv,Erkan Petekkaya Şebnem Bozoklu İlayda Çevik
Günaydın İstanbul Kardeş,Muhteşem Film,,3 Eylül 1998 - 7 Haziran 2001,Duygusal,atv,Volkan Severcan Doğa Rutkay Güler Ökten Goncagül Sunar Esra Akkaya Dilaver Uyanık Aktan Doğrar Ayhan Kavas Mürşid Bağ Ülkü Ülker Mustafa Turan Özlem İpek Remzi Evren Teoman Mermutlu Sevda Aktolga Yonca Cevher Beste Sönmezocak Levent Sülün Yalçın Bulut Defne Şener İlter Genay Diğba Ener Ali Çoban Feriha Eyüpoğlu Aslı Ciğeroğlu
Fatih Harbiye,Koliba Film,2,31 Ağustos 2013 - 10 Aralık 2014,Dram Romantik,FOX  ( HD ) (2013)  Show TV  (2013-2014),Kadir Doğulu Neslihan Atagül Yunus Emre Yıldırımer
Büyük Sürgün Kafkasya,314 Film Yapım,1,15 Aralık 2015  ( 2015-12-15 )  -  5 Ocak 2016  ( 2016-01-05 ),Tarihî Dram,TRT 1  ( HD ),Tolga Sarıtaş Elif Atakan Nilüfer Açıkalın Ertan Saban Luran Ahmeti Melis Birkan Elyesa Kaso Mustafa Jasar Erman Saban
Eyvah Kızım Büyüdü,ANS,2,22 Mart 2000  ( 2000-03-22 ) [1]  -  23 Mayıs 2001  ( 2001-05-23 ) [2],,Kanal D  (2000-2001),Haluk Bilginer Yıldız Asyalı Alp Öyken Uğur Kıvılcım Savaş Ay
Güneşi Beklerken,D Productions,1,2 Temmuz 2013 - 27 Temmuz 2014,Gençlik Drama,Kanal D  ( HD ),Emre Kınay Hande Doğandemir Kerem Bürsin Yağmur Tanrısevsin İsmail Ege Şaşmaz Ebru Aykaç
A.Ş.K.,Gold Film,1,25 Eylül 2013 - 30 Aralık 2013,Aşk Drama,Kanal D  ( HD ),Nebahat Çehre Hazal Kaya Hakan Kurtaş Kaan Urgancıoğlu Aslı Tandoğan Erkan Can
Gençliğim Eyvah,Süreç Film,1,15 Haziran 2020 - 5 Ekim 2020,Komedi Dram Aile,atv,Cengiz Bozkurt Levent Ülgen Günay Karacaoğlu Ulviye Karaca Ekin Mert Daymaz Elif Doğan Burak Tozkoparan Bahar Süer Erdem Kaynarca Zehra Yılmaz Kemal Uçar Beyti Engin
İkisini de Sevdim,Erler Film,1,27 Nisan 2017 - 11 Mayıs 2017,Dram Aşk,atv,Amine Gülşe Burak Serdar Şanal Oktay Gürsoy
Yaprak Dökümü,Ay Yapım,5,13 Eylül 2006 - 29 Aralık 2010,Aile Drama,Kanal D  ( HD ) (2006-2010),Halil Ergün Güven Hokna Bennu Yıldırımlar Deniz Çakır Tolga Karel Caner Kurtaran Hasan Küçükçetin Gökçe Bahadır Fahriye Evcen Bedia Ener Seda Demir
Kod Adı,,1,4 Eylül 2006 - 13 Kasım 2006,Polisiye,Kanal D,Gerçek Sağlar Özgür Özberk Korel Cezayirli Onur Saylak Nuri Gökaşan
Mahşer-Nabucco'nun Zehri,,1,11 Aralık 2007 - 11 Ocak 2008,,atv,Mahir Günşiray İpek Tuzcuoğlu Ahmet Uz İstemi Betil Ali Başar Nesligül Deniz Çaltıl
Bir Çocuk Sevdim,TMC,1,9 Eylül 2011 - 18 Haziran 2012,Dram Aile,Kanal D  ( HD ) (2011)  Star TV  (2012),Bülent İnal Çetin Tekindor Hakan Kurtaş Gülcan Arslan
Yalancı Romantik,Mint Prodüksiyon,2,13 Nisan 2008 [1]  - 11 Ocak 2010,Komedi Aile,Kanal 1  (2008)  FOX  (2008-2010),Hakan Yılmaz Ebru Cündübeyoğlu Necmi Yapıcı Asuman Dabak Melih Ekener Zerrin Sümer Yalçın Menteş Umut Oğuz
Makber,Pana Film,1,23 Aralık 2009 - 3 Şubat 2010,Dram Aşk,Star TV,Seda Bakan Devrim Nas Gamze Karaman Murat Başoğlu Gaye Gürsel Soydan Soydaş
Haziran Gecesi,Gold Film,2,13 Eylül 2004 - 20 Şubat 2006,Dram,Kanal D,Özcan Deniz Naz Elmas Nebahat Çehre Demir Karahan
Yılkı Atı,,1,1974 - 1974,,TRT,
Kocaman Ailem,Mia Yapım,1,31 Mayıs 2018 - 26 Temmuz 2018,Dram Komedi Aile,atv,Levent Ülgen Emre Karayel Özlem Türkad Çağla Demir Necmi Yapıcı Berkay Tulumbacı Çağrı Çıtanak Zeynep Gülmez
Eltiler,Renk Yapım,2,2 Şubat 1998 - 25 Nisan 1999,"Komedi ,  Duygusal ,  Aile",TGRT  (1998-1999),Sevinç Aktansel Engin Şenkan Betül Arım Ayşen İnci
Zeytin Tepesi,MF Yapım,1,5 Şubat 2014 - 2 Nisan 2014,Dram Gerilim Aşk,Kanal D  ( HD ),Aslıhan Gürbüz Tayanç Ayaydın
Taçsız Prenses,MF Yapım,2,10 Ocak 2023 - 24 Haziran 2023,Dram,FOX,İsmail Hacıoğlu Sümeyye Aydoğan Elif Kurtaran Tarık Papuççuoğlu
Hırsız Polis,TMC Film,2,26 Ekim 2005 - 15 Mart 2007,Polisiye,Kanal D,Uğur Yücel Timuçin Esen Özlem Düvencioğlu Murat Daltaban Erol Günaydın Ozan Güven Rasim Öztekin Dağhan Külegeç Hakan Boyav Yasemin Çonka Vahide Perçin Ahmet Saraçoğlu İpek Bilgin
Kader Ayırsa Bile,,1,16 Kasım 2002 - 2002,Dram,Star TV  (2002),Esra Ronabar Serkan Üstüner Suna Dizdar Erdoğan Kapısız Ulvi Alacakaptan Sühan Karaduman Betül Kızılok Bavli Fırat Çöloğlu
Kaynanalar,,14,19 Mayıs 1974 - 24 Ocak 2005,Sitcom,"TRT  (1974-1988), (2000-2002), (2005) Kanal D  (1997-1999)",Tekin Akmansoy Leman Çıdamlı Defne Yalnız Sevda Aydan Ege Aydan Münir Caner Sermin Hürmeriç Sezai Aydın
Baraj,Medyapım No Dokuz Productions,1,17 Mart 2020 - 11 Mayıs 2021,Dram,FOX,Feyyaz Duman Biran Damla Yılmaz Burak Yörük
Bizim Kuruntu Ailesi,TGRT,2,2 Kasım 1997 - 13 Aralık 1998,Sitcom,TGRT  (1997-1998),Gazanfer Özcan Gönül Ülkü Doğu Erkan Gazanfer Ündüz Fulya Özcan Doğan Aybay Şemsay Çankara Saltuk Kaplangı Tomris Oğuzalp Aliye Tölak Tarık Ündüz Engin Gürmen Ferdi Atuner Şensel Uykal Reyhan Ayyüzlü
Kaygısızlar,3 Nokta Film,4,18 Ekim 1994 - 1 Haziran 1998,Komedi,"Kanal D  (1994-1995), (1996-1997) Star TV  (1995, 1998) Kanal 6  (1995-1996)",Ercan Yazgan Halit Akçatepe Ayşen Gruda Gülçin Hatıhan Çiçek Dilligil Yılmaz Köksal Sibel Seyhan Şoray Uzun Damla Özen Yalçın Avşar Ülkü Duru
İki Yalancı,Tükenmezkalem Film,1,10 Temmuz 2017 - 4 Eylül 2017,Komedi Romantik,Kanal D,Keremcem Yağmur Tanrısevsin
