Title,Yapımşirketi,Sezonsayısı,Yayıntarihi,Tür,Kanal,Başrol
Sevdim Seni Bir Kere,Focus Film,1,9 Eylül 2019 - 10 Nisan 2020,Dram Romantik Aile,Star TV,Yağmur Çokgenç Oğuzhan Kayra Koç Gonca Yakut Volkan Murat Benli Didem Özkavukçu
Tatar Ramazan,TMC Film,2,26 Nisan 2013 - 26 Ocak 2014,Dram Aşk Tarihî Gerilim Suç,atv  ( HD ),Bülent İnal Burak Yamantürk Burcu Kara Özge Özpirinçci Osman Soykut Umut Karadağ Şebnem Hassanisoughi Demir Karahan Ahmet Mekin Vedat Erincin Ayla Arslancan Nur Sürer Türkü Turan Umut Kurt Volga Sorgu Taner Ölmez Tugay Mercan Sezai Altekin Mehmet Ali Nuroğlu Saygın Soysal Cemal Hünal Emre Melemez Hikmet Karagöz ve Turgay Kantürk Kanbolat Görkem Arslan Serdal Genç Kadim Yaşar Erol Gedik Görkem Türkeş Bekir Hakan Ünverdi Hasan Say Recep Yener Tamer Yiğit Hande Erçel
Alev Alev,Ay Yapım,1,5 Kasım 2020 - 27 Mayıs 2021,Dram Aile,Show TV,Demet Evgar Hazar Ergüçlü Dilan Çiçek Deniz Berkay Ateş Zuhal Olcay Cihangir Ceyhan
Roman  Havası,Erler Film,1,4 Aralık 2014 - 10 Ocak 2015,Komedi Romantik Aile,Show TV  ( HD ),Oya Başar Levent Ülgen Petek Dinçöz Erkan Şahin Cezmi Baskın Günay Karacaoğlu Lalizer Kemaloğlu Boğaç Aksoy Gökhan Şahin Gülay Baltacı Mehtap Ar Hakan Dülger Çiğdem Aygün Galip Erdal Mesut İzgi
Adını Feriha Koydum,Medyapım,2,14 Ocak 2011 - 29 Haziran 2012,Aşk Drama,Show TV  ( HD ) teve2  ( HD )-10 Ekim 2016-günümüz ( Tekrar  yayını),Vahide Perçin Hazal Kaya Çağatay Ulusoy Metin Çekmez Deniz Uğur Yusuf Akgün Ceyda Ateş Barış Kılıç
Baba Candır,MF Yapım,2,2 Ağustos 2015 - 18 Mayıs 2017,Komedi Aile,TRT 1  ( HD ),Settar Tanrıöğen Uraz Kaygılaroğlu Berna Koraltürk Melis Tüzüngüç Özgün Karaman
Zengin ve Yoksul,,1,7 Nisan 2019 - 26 Mayıs 2019,Dram Aşk,atv,Binnur Kaya Gökhan Alkan Osman Sonant Evrim Solmaz Damla Colbay Gülcan Arslan
Cesur ve Güzel,Ay Yapım,1,10 Kasım 2016 - 22 Haziran 2017,Dram Romantik,Star TV,Kıvanç Tatlıtuğ Tuba Büyüküstün
Kırmızı Oda,OGM Pictures,2,4 Eylül 2020 - 18 Şubat 2022,Dram Psikolojik,TV8,Binnur Kaya Tülin Özen Meriç Aral Burak Sevinç Gülçin Kültür Şahin
Küçük Gelin,Ser Film,3,8 Eylül 2013 - 8 Kasım 2015,Aile Dram,Samanyolu TV,Çağla Şimşek Gözde Mukavelat Orhan Şimşek Bengi Öztürk Akkaya Arda Esen Ufuk Şen Sema Aybars Ali Çakalgöz Arif Selçuk Ece Okay Melda Arat Devrim Atmaca Melissa Yıldırımer Gökhan Şahin Yağmur Kar Burcu Yüce Burcu Adal Köse Helin Melike Çal Sabri Özmener Onurcan Kırşan Tayfun Sav Ece Baykal Elif Verit
Aşk Yakar,Avşar Film,1,17 Ekim 2008 - 29 Mayıs 2009,Dram Komedi,Kanal D,Özcan Deniz Meltem Cumbul
Mükemmel Eşleşme,MinT Motion Pictures,1,16 Temmuz 2022 - 12 Ekim 2022,Aile Romantik komedi,TRT 1,Ahmet Kayakesen Gizem Sevim
Kader Bağları,Süreç Film,1,30 Eylül 2023 - 28 Ekim 2023,Dram,FOX,Serkan Çayoğlu Ayça Ayşin Turan
Sağır Oda,,1,18 Eylül 2006 - 7 Haziran 2007,İstihbarat Aksiyon,Kanal D,Orhan Kılıç Çağla Kubat Engin Cezzar Mahir Günşiray Arsen Gürzap
Kırmızı Işık,,1,2008 - 2008,Eğitim,TRT 1,Cüneyt Arkın Tolga Savacı Meral Orhonsay Bahadır Tok Meltem Ören Fatma Belgen Kemal İnci Muhammet Taflan Ahmet Vuran
Kapalıçarşı,TMC,2,28 Eylül 2009 - 6 Ekim 2010,,atv  (2009-2010),Nejat İşler Olgun Şimşek Aslı Tandoğan Tülin Özen Mert Fırat Erkan Can Selen Seyven Engin Altan Düzyatan Zeynep Eronat
Şubat,,1,14 Eylül 2012 - 30 Mayıs 2013,Dram,TRT 1,Alican Yücesoy Melisa Sözen Musa Uzunlar Serkan Ercan Özkan Uğur
Kampüsistan,D Productions,2,6 Ekim 2003  ( 2003-10-06 ) [1]  -  11 Eylül 2004  ( 2004-09-11 ),Dram Gençlik,Kanal D,Kaan Urgancıoğlu Göksun Çam Burak Altay Tuğçe Kazaz İpek Değer Engin Hepileri Irmak Ünal Ekim Mağden Aylin Kontente Elif Akşar İstemihan Tuna
Kezban Yenge,,2,27 Mart 2005  ( 2005-03-27 ) [1] [2] [3] [4] [5] [6] [7] [8] [9] [10] [11] [12] [13]  -  28 Haziran 2006  ( 2006-06-28 ) [14] [15] [16] [17] [18] [19] [20],Komedi Dram,Kanal 7  (2005-2006),
Kalp Gözü,,,8 Mart 2004  ( 2004-03-08 ) [2] [3]  -  10 Haziran 2007  ( 2007-06-10 ) [4] [5] [6] [7] [8] [9] [10] [11] [12] [13] [14] [15],Dram Fantastik,Kanal 7,
Kızım,Medyapım,1,19 Eylül 2018 - 31 Mayıs 2019,Dram Aile,TV8,Buğra Gülsoy Leyla Lydia Tuğutlu Beren Gökyıldız
Alparslan: Büyük Selçuklu,Akli Film,2,8 Kasım 2021 - 6 Kasım 2023,Tarihî Kurgu,TRT 1,Barış Arduç Fahriye Evcen Kayra Zabcı Mehmet Özgür Yurdaer Okur Serhat Tutumluer Barış Bağcı Korel Cezayirli Sarp Levendoğlu Gizem Karaca Özgür Çevik Erdinç Gülener Uygar Özçelik Devrim Saltoğlu
Deli Saraylı,Süreç Film,1,17 Eylül 2010 - 9 Aralık 2010,Komedi Tarihî,,Perran Kutman Çetin Tekindor Köksal Engür Ünal Silver Öner Erkan Akın Saatçi Özge Özpirinçci Melis Birkan Tatsyana Tsvikeviç Kenan Ece Ani İpekkaya
Öyle Bir Geçer Zaman ki,D Productions,3,14 Eylül 2010 - 18 Haziran 2013,Dram,Kanal D  ( HD ),Erkan Petekkaya Ayça Bingöl Wilma Elles
Tatlı Küçük Yalancılar,O3 Medya,1,6 Temmuz 2015 - 3 Ekim 2015,Dram Psikolojik Gerilim,Star TV,Şükrü Özyıldız Bensu Soral Büşra Develi Melisa Şenolsun Dilan Çiçek Deniz Beste Kökdemir
Lise Defteri,,1,12 Eylül 2003  ( 2003-09-12 ) [1]  -  13 Mayıs 2004  ( 2004-05-13 ) [2] [3],Gençlik Komedi Dram,Kanal D,Ece Erken Emre Altuğ Arda Kural Selin Demiratar
