Title,Tür,Yönetmen,Kanal,Başrol
Ferhunde Hanımlar,Dram,Tülay Eratalay -  - Murat Karahüseyinoğlu -  - Gülsen U. Erişdi -  - Altan Yücel - [1],TRT 1 -  (1993-1994)  - Star TV -  (1995-1999),Beyhan Saran -  - Baykal Saran -  - Güven Hokna -  - Melek Baykal -  - Hatice Aslan -  - Şahap Sayılgan -  - İpek Çeken -  - Tamer Karadağlı
Hayatımın Aşkı,Romantik komedi,Hakan Kırvavaç,Kanal D,Serkan Çayoğlu -  - Hande Doğandemir
Hepsi 1,Duygusal -  - Komedi,Kartal Çidamlı -  (1-48) -  - Yonca Güzelpınar -  (49-51),Show TV -  (2007) -  - atv -  (2007-2008),Cemre Kemer -  - Eren Bakıcı -  - Gülçin Ergül -  - Yasemin Yürük
Fırtına,Komedi -  - Aile,Metin Balekoğlu,Kanal D,Burçin Terzioğlu -  - Murat Yıldırım -  - Zerrin Sümer -  - Jale Aylanç -  - Salih Kalyon -  - Münir Canar -  - Erkan Can -  - Ayşen Gruda -  - Orhan Eşkin -  - Ömür Arpacı -  - Deniz Erözen -  - Cezmi Baskın -  - Nihan Büyükağaç -  - Türkü Hazer -  - Emirşah Bora -  - Fırat Can Aydın
İlişki Durumu: Karışık,Aşk -  - Gençlik -  - Romantik komedi,Bülent İşbilen,Show TV -  ( - HD - ),Seren Şirince -  - Berk Oktay -  - Eda Ece -  - Pamir Pekin -  - Nurseli İdiz
Darısı Başımıza,Dram -  - Aile -  - Komedi,Barış Yöş -  - Zeliha Orman,Show TV,Ozan Dolunay -  - Elif Doğan
Esir Şehrin İnsanları,Dram -  - Tarihî,Cafer Özgül,TRT 1,Emre Kınay -  - Zeynep Tokuş -  - Fikret Kuşkan -  - Başak Köklükaya -  - Seray Sever -  - Zafer Algöz -  - Ali Sirmen
Gel Dese Aşk,Dram,Murat Onbul,atv,Erkan Petekkaya -  - Şebnem Bozoklu -  - İlayda Çevik
Günaydın İstanbul Kardeş,Duygusal,Çağan Irmak,atv,Volkan Severcan -  - Doğa Rutkay -  - Güler Ökten -  - Goncagül Sunar -  - Esra Akkaya -  - Dilaver Uyanık -  - Aktan Doğrar -  - Ayhan Kavas -  - Mürşid Bağ -  - Ülkü Ülker -  - Mustafa Turan -  - Özlem İpek -  - Remzi Evren -  - Teoman Mermutlu -  - Sevda Aktolga -  - Yonca Cevher -  - Beste Sönmezocak -  - Levent Sülün -  - Yalçın Bulut -  - Defne Şener -  - İlter Genay -  - Diğba Ener -  - Ali Çoban -  - Feriha Eyüpoğlu -  - Aslı Ciğeroğlu
Fatih Harbiye,Dram -  - Romantik,Sadullah Celen,FOX -  ( - HD - ) (2013)  -  - Show TV -  (2013-2014),Kadir Doğulu -  - Neslihan Atagül -  - Yunus Emre Yıldırımer - 
Büyük Sürgün Kafkasya,Tarihî -  - Dram,Mehmet Ada Öztekin,TRT 1 -  ( - HD - ),Tolga Sarıtaş -  - Elif Atakan -  - Nilüfer Açıkalın -  - Ertan Saban -  - Luran Ahmeti -  - Melis Birkan -  - Elyesa Kaso -  - Mustafa Jasar -  - Erman Saban
Eyvah Kızım Büyüdü,,Orhan Cesur -  - Filiz Kaynak -  - Bülent Özdural,Kanal D -  (2000-2001),Haluk Bilginer -  - Yıldız Asyalı -  - Alp Öyken -  - Uğur Kıvılcım -  - Savaş Ay
Güneşi Beklerken,Gençlik -  - Drama,Altan Dönmez,Kanal D -  ( - HD - ),Emre Kınay -  - Hande Doğandemir -  - Kerem Bürsin -  - Yağmur Tanrısevsin -  - İsmail Ege Şaşmaz -  - Ebru Aykaç
A.Ş.K.,Aşk -  - Drama,Ömür Atay,Kanal D -  ( - HD - ),Nebahat Çehre -  - Hazal Kaya -  - Hakan Kurtaş -  - Kaan Urgancıoğlu -  - Aslı Tandoğan -  - Erkan Can
Gençliğim Eyvah,Komedi -  - Dram -  - Aile,"Deniz Yılmaz Şayir -  (1-17) -  - Doğa Can Anafarta -  (8-9, 11-17)",atv,Cengiz Bozkurt -  - Levent Ülgen -  - Günay Karacaoğlu -  - Ulviye Karaca -  - Ekin Mert Daymaz -  - Elif Doğan -  - Burak Tozkoparan -  - Bahar Süer -  - Erdem Kaynarca -  - Zehra Yılmaz -  - Kemal Uçar -  - Beyti Engin
İkisini de Sevdim,Dram -  - Aşk,Cem Tabak,atv,Amine Gülşe -  - Burak Serdar Şanal -  - Oktay Gürsoy
Yaprak Dökümü,Aile -  - Drama,Mesude Erarslan,Kanal D -  ( - HD - ) (2006-2010),Halil Ergün -  - Güven Hokna -  - Bennu Yıldırımlar -  - Deniz Çakır -  - Tolga Karel -  - Caner Kurtaran -  - Hasan Küçükçetin -  - Gökçe Bahadır -  - Fahriye Evcen -  - Bedia Ener -  - Seda Demir
Kod Adı,Polisiye,,Kanal D,Gerçek Sağlar -  - Özgür Özberk -  - Korel Cezayirli -  - Onur Saylak -  - Nuri Gökaşan
Mahşer-Nabucco'nun Zehri,,Koray Demir,atv,Mahir Günşiray -  - İpek Tuzcuoğlu -  - Ahmet Uz -  - İstemi Betil -  - Ali Başar -  - Nesligül Deniz Çaltıl - 
Bir Çocuk Sevdim,Dram -  - Aile,Cevdet Mercan -  - Murat Düzgünoğlu,Kanal D -  ( - HD - ) (2011)  -  - Star TV -  (2012),Bülent İnal -  - Çetin Tekindor -  - Hakan Kurtaş -  - Gülcan Arslan
Yalancı Romantik,Komedi -  - Aile,Birkan Uz,Kanal 1 -  (2008)  -  - FOX -  (2008-2010),Hakan Yılmaz -  - Ebru Cündübeyoğlu -  - Necmi Yapıcı -  - Asuman Dabak -  - Melih Ekener -  - Zerrin Sümer -  - Yalçın Menteş -  - Umut Oğuz
Makber,Dram -  - Aşk,Kemal Uzun,Star TV,Seda Bakan -  - Devrim Nas -  - Gamze Karaman -  - Murat Başoğlu -  - Gaye Gürsel -  - Soydan Soydaş
Haziran Gecesi,Dram,Andaç Haznedaroğlu,Kanal D,Özcan Deniz -  - Naz Elmas -  - Nebahat Çehre -  - Demir Karahan
Yılkı Atı,,"Ünal Küpeli - ,  - Hüseyin Karakaş",TRT,
Kocaman Ailem,Dram -  - Komedi -  - Aile,Sadullah Şentürk,atv,Levent Ülgen -  - Emre Karayel -  - Özlem Türkad -  - Çağla Demir -  - Necmi Yapıcı -  - Berkay Tulumbacı -  - Çağrı Çıtanak -  - Zeynep Gülmez
Eltiler,"Komedi - ,  - Duygusal - ,  - Aile",,TGRT -  (1998-1999),Sevinç Aktansel -  - Engin Şenkan -  - Betül Arım -  - Ayşen İnci
Zeytin Tepesi,Dram -  - Gerilim -  - Aşk,Barış Yöş,Kanal D -  ( - HD - ),Aslıhan Gürbüz -  - Tayanç Ayaydın
Taçsız Prenses,Dram,Volkan Keskin,FOX,İsmail Hacıoğlu -  - Sümeyye Aydoğan -  - Elif Kurtaran -  - Tarık Papuççuoğlu
Hırsız Polis,Polisiye,Türkan Derya Güven,Kanal D,Uğur Yücel -  - Timuçin Esen -  - Özlem Düvencioğlu -  - Murat Daltaban -  - Erol Günaydın -  - Ozan Güven -  - Rasim Öztekin -  - Dağhan Külegeç -  - Hakan Boyav -  - Yasemin Çonka -  - Vahide Perçin -  - Ahmet Saraçoğlu -  - İpek Bilgin
Kader Ayırsa Bile,Dram,Tunca Yönder,Star TV -  (2002),Esra Ronabar -  - Serkan Üstüner -  - Suna Dizdar -  - Erdoğan Kapısız -  - Ulvi Alacakaptan -  - Sühan Karaduman -  - Betül Kızılok Bavli -  - Fırat Çöloğlu
Kaynanalar,Sitcom,Tekin Akmansoy -  - Arzu Akmansoy,"TRT -  (1974-1988), (2000-2002), (2005) -  - Kanal D -  (1997-1999)",Tekin Akmansoy -  - Leman Çıdamlı -  - Defne Yalnız -  - Sevda Aydan -  - Ege Aydan -  - Münir Caner -  - Sermin Hürmeriç -  - Sezai Aydın
Baraj,Dram,Hasan Tolga Pusat,FOX,Feyyaz Duman -  - Biran Damla Yılmaz -  - Burak Yörük
Bizim Kuruntu Ailesi,Sitcom,Bülent Özdural,TGRT -  (1997-1998),Gazanfer Özcan -  - Gönül Ülkü -  - Doğu Erkan -  - Gazanfer Ündüz -  - Fulya Özcan -  - Doğan Aybay -  - Şemsay Çankara -  - Saltuk Kaplangı -  - Tomris Oğuzalp -  - Aliye Tölak -  - Tarık Ündüz -  - Engin Gürmen -  - Ferdi Atuner -  - Şensel Uykal -  - Reyhan Ayyüzlü
Kaygısızlar,Komedi,Oğuz Yalçın -  - Ayhan Önal -  - Cankat Ergin -  - Samim Değer -  - Temel Gürsu -  - Uğur Erkır,"Kanal D -  (1994-1995), (1996-1997) -  - Star TV -  (1995, 1998) -  - Kanal 6 -  (1995-1996)",Ercan Yazgan -  - Halit Akçatepe -  - Ayşen Gruda -  - Gülçin Hatıhan -  - Çiçek Dilligil -  - Yılmaz Köksal -  - Sibel Seyhan -  - Şoray Uzun -  - Damla Özen -  - Yalçın Avşar -  - Ülkü Duru
İki Yalancı,Komedi -  - Romantik,Eda Teksöz,Kanal D,Keremcem -  - Yağmur Tanrısevsin
Tuzak,Dram,Aytaç Çiçek,TV8,Akın Akınözü -  - Bensu Soral -  - Talat Bulut
Fazilet Hanım ve Kızları,Dram,Murat Saraçoğlu,Star TV,Nazan Kesal -  - Deniz Baysal Yurtcu -  - Çağlar Ertuğrul -  - Mahir Günşiray -  - Tolga Güleç -  - Hazal Türesan -  - Afra Saraçoğlu -  - İdris Nebi Taşkan -  - Alp Navruz -  - Tuğba Melis Türk -  - Ecem Baltacı
Seven Ne Yapmaz,Aşk -  - Romantik,Bora Onur,atv,Yusuf Çim -  - Seren Şirince
Fedai,Drama,Güzide Balcı,Star TV,Seda Sayan -  - Tamer Karadağlı -  - Metin Belgin -  - Güliz Gençoğlu -  - İpek Tanrıyar -  - Enginay Gültekin -  - Mutlu Güney -  - Atilla Yiğit -  - Ergül Coşkun -  - Selen Uçer -  - Kaan Olcay -  - Şeyda Şaşmaz
Şeytan Ayrıntıda Gizlidir,Polisiye,Cevdet Mercan,TRT 1 -  (2004),Çetin Tekindor -  - Nejat İşler -  - İrem Altuğ -  - Meral Çetinkaya -  - Fırat Tanış -  - Ali Sürmeli -  - Ümit Acar -  - Engin Cezzar -  - Erol Keskin -  - Fatih Koyunoğlu -  - Levend Yılmaz -  - Gazanfer Ündüz -  - Mete Horozoğlu -  - Aytekin Özen -  - Mert Turak -  - Ayşen İnci -  - Erkan Kolçak Köstendil -  - Hasan Küçükçetin -  - Fulya Ündüz -  - İnan Ulaş Torun -  - Umut Sinem Tuncer -  - Ayhan Taş -  - Halil İbrahim Aras -  - İhsan Devrim -  - Ayhan Eroğlu
Güzel Günler,Komedi -  - Aile,Osman Taşcı,Show TV,Binnur Kaya -  - Ecem Erkek -  - Leyla Tanlar -  - Zeynep Çamcı -  - Olgun Toker -  - Burak Dakak -  - Yıldıray Şahinler
Saklı Kalan,,Mehmet Ada Öztekin,Show TV,Melis Birkan -  - Muhammet Uzuner -  - Meral Çetinkaya
Ruhumun Aynası,Komedi -  - Aile -  - Romantik,Bülent İşbilen,FOX -  ( - HD - ),Tuba Ünsal -  - Filiz Ahmet -  - Özgürcan Çevik -  - Engin Alkan -  - Suzan Aksoy -  - Murat Akkoyunlu -  - Barış Yalçın -  - Bora Akkaş -  - Ayşen Gruda -  - Aliye Uzunatağan -  - Rıza Akın -  - Haktan Pak -  - Mihrace Yekenkülüğ -  - Alpay Şayhan -  - Funda Güray -  - Belit Özükan
Yalan Dünya,Komedi -  - Sit-com,Jale Atabey Özberk,Kanal D -  ( - HD - )  -  - teve2 -  (Tekrar),Altan Erkekli -  - Füsun Demirel -  - Olgun Şimşek -  - Beyazıt Öztürk -  - Gülse Birsel -  - Hasibe Eren -  - Sarp Apak -  - Öner Erkan
Kalp Yarası,Aşk -  - Dram,Yıldız Hülya Bilban,atv,Gökhan Alkan -  - Yağmur Tanrısevsin
Tövbeler Tövbesi,Dram -  - Romantik -  - Komedi,Aydın Bulut -  - Seben Delice,atv -  ( - HD - ),Tuba Ünsal -  - Cemal Toktaş -  - Fulya Zenginer -  - Keremcem -  - Füsun Demirel -  - Rıza Akın -  - Cihat Tamer -  - Pınar Dikici
Doludizgin Yıllar,Dram,,atv -  (6 Ağustos 2008-24 Eylül 2008)  -  - TRT 1 -  (3 Kasım 2008-8 Şubat 2010),Yusuf Ömer Sınav -  - Selen Seyven -  - Arda Kural -  - Erdal Cindoruk -  - Damla Debre -  - Ayşegül İşsever -  - Mehmet Polat -  - Suat Güzey -  - Yılmaz Calayır -  - Deniz Özpınar -  - Yağız Bankoğlu -  - Hüseyin Soysalan
Sultan Makamı,Dram,,Kanal D,Şevket Çoruh -  - Başak Köklükaya -  - Uğur Polat -  - Dolunay Soysert -  - Kerem Atabeyoğlu -  - Suzan Elif Kılınç
Afili Aşk,Romantik komedi,Serdar Gözelekli,Kanal D,Çağlar Ertuğrul -  - Burcu Özberk
Arıza,Aksiyon -  - Dram,Recai Karagöz,Show TV,Tolga Sarıtaş -  - Ayça Ayşin Turan -  - Ahmet Mümtaz Taylan
Hangimiz Sevmedik,Dram -  - Komedi,Metin Balekoğlu,TRT 1,Can Yaman -  - Selen Soyder -  - Yeliz Kuvancı
Sihirli Safiye,Fantastik -  - Aile -  - Komedi,Yavuz Figenli,Kanal D,Seden Kızıltunç -  - Oğuz Oktay -  - Ayben Erman -  - Şerif Arslan -  - Fatoş Kara
Kuzgun,Dram,Ali Bilgin,Star TV,Barış Arduç -  - Burcu Biricik
Söz,Askeri -  - Aksiyon -  - Savaş -  - Dram,Yağız Alp Akaydın,Star TV,Tolga Sarıtaş -  - Aybüke Pusat -  - Deniz Baysal Yurtcu -  - Serhat Kılıç -  - Sarp Akkaya -  - Nihat Altınkaya -  - Aytaç Şaşmaz -  - Mehmet Özgür -  - Meriç Aral -  - Burak Sevinç -  - Görkem Sevindik -  - Eren Vurdem -  - Mustafa Yıldıran -  - Doğukan Polat -  - Çağan Atakan Arslan
Yanık Koza,Dram -  - Genel,Murat Saraçoğlu -  - Özer Kızıltan -  - Mesude Erarslan,Show TV,Yavuz Bingöl -  - Başak Köklükaya -  - Çolpan İlhan -  - Ayça İnci -  - Mustafa Alabora -  - Burak Davutoğlu -  - Tuncer Necmioğlu -  - Serdar Özer -  - Başak Daşman -  - Kemal Okur -  - Barış Erdi -  - Perihan Savaş -  - Mete Horozoğlu -  - Sedef Avcı -  - Hande Kazanova -  - Saadet Gürses -  - Erdal Cindoruk -  - Ali Karagöz -  - Yavuz Karakaş
Sıkı Dostlar,Komedi,Birkan Uz,Türkmax -  (2009)  -  - FOX -  (2009),Haluk Bilginer -  - Özkan Uğur -  - Seray Sever -  - Nez -  - Hasibe Eren -  - Ömür Arpacı -  - Ayşenur Yazıcı -  - Hakan Bilgin -  - Aydoğan Oflu -  - Özlem Türkad -  - Okan Tangücü
Kimse Bilmez,Dram -  - Aile,U. Hakan Eren -  (1-27) -  - Kartal Çidamlı -  (1-17) -  - Reyhan Pekar -  (18-27),atv,Keremcem -  - Özgü Kaya -  - Engin Hepileri -  - Burak Serdar Şanal
Karadayı,Aksiyon -  - Dram -  - Politik,Uluç Bayraktar -  - Cem Karcı,atv -  ( - HD - ),Kenan İmirzalıoğlu -  - Bergüzar Korel -  - Çetin Tekindor -  - Yurdaer Okur
Payitaht: Abdülhamid,Tarihî -  - Aksiyon -  - Dram -  - Kurgu,Serdar Akar -  - Emre Konuk -  - Doğan Ümit Karaca - [1],TRT 1,Bülent İnal -  - Özlem Conker -  - Saygın Soysal -  - Ezgi Eyüboğlu -  - Akın Akınözü -  - Hakan Boyav -  - Selen Öztürk -  - Eren Hacısalihoğlu -  - Bahadır Yenişehirlioğlu -  - Vildan Atasever -  - Erkan Avcı -  - Gürkan Uygun -  - İsmail Hakkı Ürün
Bir Litre Gözyaşı,Dram -  - Romantik,Serhan Şahin,Kanal D -  - Euro D -  - teve2,Sanem Çelik -  - Miray Daner -  - Ogeday Girişken -  - Tolga Tekin -  - Mert Yazıcıoğlu
Hayatımın Rolü,Aile -  - Dram -  - Komedi,Sadullah Celen -  - Hakan Arslan,Star TV,Haluk Bilginer -  - Ebru Özkan -  - Bekir Aksoy -  - Ebru Aykaç -  - İlhan Şeşen
Beni Affet,Aile -  - Aşk -  - Dram,Gürsel Ateş -  - Mihriban Şahin -  - Bergüzar Demiroğlu,Show TV -  (2011-2012) -  - Star TV -  ( - HD - ) (2012-2018)  -  - 2M TV - - - Fas -  (2013-2019),Nusret Şenay -  - Ulviye Karaca -  - Gaye Turgut Evin -  - Mert Altınışık -  - Şeyma Korkmaz -  - Murat Danacı -  - Ceren Yalazoğlu Karakoç -  - İlkay Kayku Atalay -  - Zeynep Yasa -  - Zeynep Aytek Metin -  - Okan Şenozan -  - Deniz Evin -  - Saim Karakale -  - Mithat Erdemli -  - Tolga Akman -  - Aleyna Eroğlu -  - Can Arpacı -  - Gökberk Yıldırım
Kalbim Ege'de Kaldı,Romantik komedi -  - Aile,Ömer Uğur -  - Eray Koçak,Kanal D -  ( - HD - ),Alper Saldıran -  - Oya Unustası
Kara Tahta,Dram,Ender Mıhlar,TRT 1,Furkan Andıç -  - Miray Daner
Yüzleşme,Dram -  - Polisiye,Ömer Faruk Sorak -  - Burak Arlıel,Kanal D,Hande Doğandemir -  - Uğur Yücel -  - Engin Öztürk -  - Yiğit Kirazcı
Nehir,Drama,Cevdet Mercan,Kanal D,Petek Dinçöz -  - İpek Tuzcuoğlu -  - Selma Güneri -  - Zeynep Eronat -  - Suna Selen -  - Mümtaz Sevinç -  - Irmak Ünal -  - Özgül Kavruk -  - Serpil Tamur -  - Cengiz Coşkun
Ütopya,Yarışma,,TV8 -  ( - HD - ) (2014-2015),
Beşinci Boyut,Dram -  - Dini,Hasan Kıraç,Samanyolu TV,Cengiz Toraman -  - Doğan Turan
Darmaduman,Gençlik -  - Dram,Deniz Yorulmazer,FOX,Mert Yazıcıoğlu -  - Aslıhan Malbora -  - Hafsanur Sancaktutan -  - Aytaç Şaşmaz -  - Nur Fettahoğlu -  - Necip Memili
Her Yerde Sen,Romantik komedi,Ender Mıhlar,FOX,Furkan Andıç -  - Aybüke Pusat
İki Arada Aşk,Komedi,,TV8 -  (2005)  -  - atv -  (2005),
Cesaretin Var Mı Aşka,Romantik komedi -  - Dram,Ömer Uğur,Kanal D,Engin Altan Düzyatan -  - Özge Özpirinçci -  - Tarık Papuççuoğlu -  - Ufuk Özkan -  - İlker Ayrık
Kalbimdeki Deniz,Dram,Hakan İnan,FOX,Özge Özberk -  - Kutsi
Bizim Okul,Komedi,Yaşar Seriner,atv,Zeki Alasya -  - Cezmi Baskın -  - Levent Ülgen -  - Pınar Aydın -  - Tülin Oral -  - Cem Davran
Benim Adım Melek,Dram,Cem Akyoldaş -  - Celil Murat Sarı -  - Günay Günaydın,TRT 1,Nehir Erdoğan -  - Kutsi
Türkmen Düğünü,Duygusal,Adem Ayral,TRT 1,Yılmaz Zafer -  - Ece Pirim -  - Nilgün Bubikoğlu -  - Zerrin Çaldıran -  - Asuman Arsan -  - Nevin Aypar -  - Atilla Ergün
Mavi Kelebekler,Dram -  - Savaş,Metin Balekoğlu,TRT 1,Alma Terzic -  - Burak Hakkı -  - Oya Okar -  - Yunus Emre Yıldırımer
Gülcemal,Dram,Yusuf Pirhasan -  - Merve Çolak,FOX,Murat Ünalmış -  - Melis Sezen
Benim İçin Ağlama,,,TGRT,Fatma Girik -  - Bulut Aras -  - Yeşim Büber -  - Ebru Akel -  - Gökhan Tepe
Osmanlı Tokadı,Tarihî,Mustafa Şevki Doğan,TRT 1 -  ( - HD - ),Uğur Çavuşoğlu -  - Alper Kul -  - İsmail Hacıoğlu -  - Vildan Atasever -  - Emir Benderlioğlu -  - Mazhar Alanson -  - Bertan Ceylan -  - Pelin Akil
Mehmed: Bir Cihan Fatihi,Tarihî -  - Kurgu,Cevdet Mercan,Kanal D,Kenan İmirzalıoğlu -  - Çetin Tekindor -  - Gürkan Uygun -  - Büşra Develi -  - Hazal Filiz Küçükköse
Doksanlar,Komedi -  - Drama -  - Romantik,Mesude Erarslan,atv,Renan Bilek -  - Gamze Gözalan -  - Arif Erkin Güzelbeyoğlu -  - Beste Bereket -  - Atılay Uluışık -  - Açelya Akkoyun -  - Erkan Köse -  - Esra Dermancıoğlu -  - Deniz Oral -  - Derya Şensoy
Türk'ün Uzayla İmtihanı,Komedi -  - Bilimkurgu,Uğur Yağcıoğlu,Show TV -  ( - HD - ),Ufuk Özkan -  - Peker Açıkalın -  - Sinan Çalışkanoğlu -  - Özge Ulusoy -  - Veysel Diker -  - Bala Atabek -  - Ayşe Melike Çerçi -  - Bülent Çolak -  - Yonca Oskay -  - Haki Biçici - 
Yeşil Vadi'nin Kızı,Dram,M. Murat Şenöy -  - Çağıl Nurhak Aydoğdu,Show TV,Beren Gökyıldız -  - Sezin Bozacı -  - Onur Dikmen
İtilmiş ve Kakılmış,Aksiyon -  - Polisiye -  - Suç -  - Gerilim -  - İstihbarat -  - Komedi -  - Dram,Osman Sınav -  - Mustafa Şevki Doğan -  - Orhan Oğuz -  - Kartal Tibet -  - Adnan Güler,Star TV -  - (1. Sezon) -  - Show TV -  - (2. ve 3. Sezon),İlyas İlbey -  - Yasemin Yalçın
Sır Gibi,Aile -  - Dram -  - Aşk,Şengül Halat,Star TV -  (2007),İsmet Üstekin -  - Kaya Erdaş -  - Tuğçe Ersoy -  - Murat Ünalmış -  - Ece Özdikici -  - Gülenay Kalkan -  - Ayşegül Uygurer -  - Aylin Kontente -  - Hikmet Karagöz -  - Burak Davutoğlu -  - Feyza Işık -  - Sezin Akbaşoğulları -  - Erdoğan Tutkun
Avrupa Avrupa,Sitcom,Cevriye Demir,TRT 1,Tarık Ünlüoğlu -  - Selen Seyven -  - Burak Serdar Şanal -  - Bahar Süer -  - Zuhal Topal -  - Şehsuvar Aktaş -  - Kadir Çöpdemir -  - Günay Karacaoğlu -  - Ahmet Saraçoğlu -  - Durukan Çelikkaya
Bıçak Sırtı,,Selim Demirdelen,Kanal D,Nejat İşler -  - Melisa Sözen -  - Fikret Kuşkan -  - Vildan Atasever -  - Mehmet Günsür -  - Mahir Günşiray -  - Erkan Can -  - Batuhan Karacakaya
Duy Beni,Dram -  - Romantik -  - Gençlik,Ali Balcı,Star TV,Berk Hakman -  - Ege Kökenli -  - Rabia Soytürk -  - Caner Topçu -  - Sümeyye Aydoğan
Benim Hayatım,Dram -  - Romantik,Onur Tan -  (Genel) -  - Orkun Çatak -  - Savaş İlhan -  - Özlem Dündar,Star TV,Nilsu Berfin Aktaş -  - Genco Özak
İyilik,Dram -  - Aşk,Murat Öztürk,FOX,Hatice Şendil -  - İsmail Demirci -  - Sera Kutlubey
Canım Annem,Dram,Ece Tahtalıoğlu Pertez -  - Emrah Şendur,TV8,Selin Sezgin -  - Erol Gedik -  - Gece Işık Demirel
Mucize Doktor,Medikal -  - Dram,"Yusuf Pirhasan -  (1-48, 64) -  - Aytaç Çiçek -  (2-28, 30-53) -  - Volkan Keskin -  (53) -  - Yağız Alp Akaydın -  (54-60) -  - Altan Dönmez -  (61-64)",FOX,Taner Ölmez -  - Onur Tuna -  - Sinem Ünsal
Zalim,Macera,Faruk Teber -  - Jale İncekol,Star TV,Mahsun Kırmızıgül -  - Ceyda Düvenci -  - Zafer Ergin -  - Nebahat Çehre -  - Ümit Okur -  - Şafak Sezer -  - Taner Ertürkler -  - Ali Emre Ateş -  - Levent Yılmaz -  - Cezmi Baskın -  - Damla Özen -  - Güner Özkul -  - Aliye Uzunatağan -  - Evren Alganatay
Karakolda Ayna Var,Komedi,Kudret Sabancı,TRT 1,Müjde Ar -  - Erdal Özyağcılar -  - Perihan Savaş -  - Hasan Demircan -  - Suavi Eren -  - Alev Sururi -  - Avni Yalçın
Paramparça,Aile -  - Drama,Cevdet Mercan -  (1-31)  -  - Altan Dönmez -  (32-97),Star TV -  ( - HD - ) (2014-2017),Nurgül Yeşilçay -  - Erkan Petekkaya -  - Ebru Özkan -  - Barış Falay
Maral: En Güzel Hikayem,Dram -  - Aşk,Bahadar İnce,TV8 -  (2015),Hazal Kaya -  - Aras Bulut İynemli -  - Can Nergis
Aşkım Aşkım,,Filiz Kaynak -  (2001-2002) -  - Nursan Esenboğa -  (2008),Kanal D -  (2001-2002) -  - Kanal 1 -  (2007-2008),Emel Sayın -  - Mehmet Ali Erbil -  - Doğa Rutkay -  - Engin Günaydın -  - Günay Karacaoğlu -  - Ayumi Takano
Gönülçelen,"Dram - ,  - komedi",Cevdet Mercan -  - Ahmet Katıksız,atv,Tuba Büyüküstün -  - Cansel Elçin -  - Onur Saylak
İntikam,Aksiyon -  - Drama,Mesude Eraslan -  (1-22)  -  - Çağrı Vila Lostuvalı -  (23-44),Kanal D -  ( - HD - ),Beren Saat -  - Nejat İşler -  - Yiğit Özşener -  - Mert Fırat
Elkızı,Dram,Feride Kaytan,FOX,Sevda Erginci -  - Perihan Savaş -  - İsmail Ege Şaşmaz
Seversin,Romantik komedi,Serdar Gözelekli -  - (1-15) -  - Deniz Çelebi Dikilitaş -  (16-20),Kanal D,İlayda Alişan -  - Burak Yörük
Kadın İsterse,Dram -  - Komedi,Bora Tekay,Star TV -  (2004-2005)  -  - Show TV -  (2005-2006),Hülya Avşar -  - Cihan Ünal -  - Deniz Çakır -  - Zerrin Sümer -  - Derya Baykal -  - Kazım Akşar -  - Burçin Terzioğlu -  - Vildan Atasever -  - Oğuz Oktay -  - Cahit Kaşıkçılar -  - Elif Tayhan
Kahraman Babam,Aksiyon -  - Dram,Osman Kaya,Show TV,Görkem Sevindik -  - Nilay Deniz -  - Ebrar Alya Demirbilek
Sayın Bakanım,,,atv,Ali Sunal -  - Haluk Bilginer -  - Haldun Dormen -  - Kenan Işık
Çılgın Bediş,Gençlik -  - Komedi,Turgut Yasalar -  (1-5) -  - Yavuz Figenli -  (6-53) -  - Çetin İnanç -  (54-65) -  - Ömer Uğur -  (66-70),Kanal D -  (1996-1999) -  - Show TV -  (2000-2001),Yonca Evcimik -  - Cenk Torun -  - Çiçek Dilligil -  - Selahattin Taşdöğen
Siyah İnci,Dram -  - Aşk,Cem Karcı -  - Benal Tairi,Star TV,Tolgahan Sayışman -  - Hande Erçel
Pis Yedili,Gençlik -  - Komedi,Haluk Bener -  (1) -  - Süleyman Seçik -  (2-26) -  - Kartal Çidamlı -  (27-66) -  - Doğan Ümit Karaca -  (67-71) -  - Osman Taşcı -  (72-101),Show TV,Kadir Doğulu -  - Eda Ece -  - Melis Babadağ -  - Uraz Kaygılaroğlu -  - Burak Alkaş -  - Halil Babür -  - Ayşegül Aldinç -  - Hazal Şenel -  - Sezer Arıçay -  - Ümit İbrahim Kantarcılar -  - Bükre Atala -  - Ahmet Yıldırım -  - Melih Selçuk -  - Ümit Erlim -  - Güneş Zavrak -  - Ecem Karavus -  - Turan Özdemir -  - Asuman Dabak -  - İlkay Akdağlı -  - Harun Kolçak -  - Ceren Soylu -  - Barış Akan -  - Nevzat Çiftçi - 
Ah Ana,Komedi -  - Sitcom -  - Dram,Tarık Alpagut,TRT 1 -  (1988-1990),Beyhan Saran -  - Halil İbrahim Kalaycıoğlu -  - Erol Kardeseci -  - Alpay İzbırak -  - Nurtekin Odabaşı -  - Hülya Gülşen Irmak -  - Jale Aylanç
Çoban Yıldızı,Dram -  - Romantik,Gül Oğuz -  - Kader Bayraktar,FOX,Şükrü Özyıldız -  - Selin Şekerci -  - Serhat Özcan -  - Menderes Samancılar -  - Selim Bayraktar -  - Sinem Ünsal -  - Özkan Uğur
